Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
48017,-33.71198272705078,25.30754280090332,0.0,674.8082885742188,-684.8162231445312,488.1227111816406,-28.240175247192383,19.74415397644043,0.0
48022,-33.66789245605469,25.268014907836914,0.0,674.8445434570312,-684.8547973632812,488.1485900878906,-28.240488052368164,19.742834091186523,0.0
48027,-33.71562194824219,25.29387092590332,0.0,674.8801879882812,-684.893798828125,488.1759033203125,-28.24172019958496,19.74123764038086,0.0
48032,-33.73361587524414,25.333736419677734,0.0,674.916748046875,-684.9318237304688,488.200927734375,-28.242149353027344,19.74090003967285,0.0
48037,-33.72894287109375,25.274124145507812,0.0,674.9520263671875,-684.9711303710938,488.2269592285156,-28.243831634521484,19.738874435424805,0.0
48042,-33.70448303222656,25.28150749206543,0.0,674.988525390625,-685.0081787109375,488.2520751953125,-28.244121551513672,19.739181518554688,0.0
48047,-33.70559310913086,25.287118911743164,0.0,675.0269165039062,-685.0455932617188,488.27734375,-28.24251937866211,19.7391414642334,0.0
48053,-33.669403076171875,25.283058166503906,0.0,675.0637817382812,-685.08154296875,488.30413818359375,-28.242197036743164,19.740514755249023,0.0
48058,-33.670562744140625,25.293224334716797,0.0,675.1058349609375,-685.1259765625,488.3363952636719,-28.236846923828125,19.733633041381836,0.0
48063,-33.72867965698242,25.34025001525879,0.0,675.1424560546875,-685.1640625,488.361572265625,-28.237285614013672,19.733402252197266,0.0
48068,-33.68276596069336,25.285104751586914,0.0,675.1787719726562,-685.2022094726562,488.38751220703125,-28.237714767456055,19.73272132873535,0.0
48073,-33.63523864746094,25.27301788330078,0.0,675.215576171875,-685.239990234375,488.41314697265625,-28.23736000061035,19.73233985900879,0.0
48078,-33.68345260620117,25.300079345703125,0.0,675.2520751953125,-685.2771606445312,488.43817138671875,-28.23763084411621,19.732744216918945,0.0
48083,-33.72745895385742,25.292755126953125,0.0,675.2885131835938,-685.3137817382812,488.4645690917969,-28.23826789855957,19.73362159729004,0.0
48088,-33.73705291748047,25.240867614746094,0.0,675.3248291015625,-685.3518676757812,488.49005126953125,-28.239036560058594,19.73270034790039,0.0
48093,-33.713985443115234,25.289432525634766,0.0,675.361572265625,-685.3897094726562,488.5167541503906,-28.239259719848633,19.73233413696289,0.0
48098,-33.71674346923828,25.280683517456055,0.0,675.399658203125,-685.4268798828125,488.5435485839844,-28.238130569458008,19.732589721679688,0.0
48103,-33.698707580566406,25.262916564941406,0.0,675.4365234375,-685.4645385742188,488.5712585449219,-28.23809814453125,19.73226547241211,0.0
