Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
957,-2.957763672,-2.83984375,-5.950683594,503,-463,326
962,-2.959472656,-2.845458984,-5.947998047,497,-485,319
967,-2.959716797,-2.841308594,-5.948730469,503,-517,327
972,-2.957519531,-2.843994141,-5.944335938,472,-487,325
977,-2.957763672,-2.841552734,-5.947265625,474,-492,288
982,-2.955322266,-2.846191406,-5.947998047,490,-517,308
987,-2.961914063,-2.843261719,-5.951171875,489,-498,322
992,-2.957275391,-2.841796875,-5.943847656,479,-477,336
997,-2.959960938,-2.845458984,-5.946777344,462,-494,283
1002,-2.962402344,-2.846435547,-5.947021484,502,-462,310
1007,-2.959716797,-2.843261719,-5.947021484,493,-483,278
1012,-2.9609375,-2.84375,-5.954833984,498,-471,325
1017,-2.956542969,-2.845703125,-5.945800781,481,-479,323
1022,-2.959472656,-2.842529297,-5.951904297,486,-483,311
1027,-2.954833984,-2.842773438,-5.947998047,503,-480,333
1032,-2.959472656,-2.843261719,-5.946533203,473,-480,312
1037,-2.957275391,-2.843994141,-5.949951172,479,-522,317
1042,-2.958251953,-2.842529297,-5.951416016,489,-471,285
1047,-2.958007813,-2.843261719,-5.942626953,491,-504,325
1052,-2.956542969,-2.846435547,-5.949951172,502,-480,302
1057,-2.956298828,-2.844970703,-5.951171875,497,-500,319
1062,-2.955810547,-2.843261719,-5.944824219,481,-494,311
1067,-2.958984375,-2.846679688,-5.944335938,486,-479,338
1072,-2.957519531,-2.840576172,-5.947021484,490,-473,315
1078,-2.954589844,-2.844238281,-5.944824219,506,-500,327
1083,-2.957763672,-2.843505859,-5.948242188,487,-481,310
1088,-2.959228516,-2.845214844,-5.945556641,482,-495,312
1093,-2.960693359,-2.844970703,-5.948242188,472,-497,330
1098,-2.955078125,-2.843261719,-5.94921875,481,-482,311
1103,-2.961669922,-2.845703125,-5.950195313,487,-508,316
1108,-2.959228516,-2.845703125,-5.947998047,495,-478,315
1113,-2.959472656,-2.847412109,-5.952880859,481,-481,334
1118,-2.954589844,-2.842529297,-5.943603516,510,-479,299
1123,-2.95703125,-2.843505859,-5.946289063,481,-487,309
1128,-2.959472656,-2.846923828,-5.949707031,506,-493,317
1133,-2.954833984,-2.849609375,-5.951660156,490,-491,323
1138,-2.959960938,-2.848388672,-5.943115234,474,-484,341
1143,-2.954589844,-2.845947266,-5.947021484,484,-489,313
1148,-2.958496094,-2.844726563,-5.947509766,475,-494,313
1153,-2.955566406,-2.844238281,-5.942382813,500,-501,312
1158,-2.958496094,-2.841552734,-5.953857422,489,-496,321
1163,-2.957519531,-2.843994141,-5.950195313,493,-488,320
1168,-2.959228516,-2.845703125,-5.948242188,475,-490,327
1173,-2.958984375,-2.842285156,-5.951904297,509,-496,329
1178,-2.95703125,-2.843994141,-5.950683594,494,-487,323
1183,-2.958496094,-2.846435547,-5.945068359,489,-511,305
1188,-2.958984375,-2.846435547,-5.954589844,491,-475,303
1193,-2.956787109,-2.846435547,-5.949462891,493,-473,318
1198,-2.95703125,-2.844482422,-5.949462891,465,-471,325
1203,-2.956542969,-2.844726563,-5.945800781,488,-459,328
1208,-2.958496094,-2.845214844,-5.944335938,473,-495,331
1214,-2.956787109,-2.840576172,-5.950683594,477,-502,333
1219,-2.958007813,-2.844482422,-5.947509766,517,-491,291
1224,-2.953857422,-2.844970703,-5.948730469,490,-507,321
1229,-2.956298828,-2.844726563,-5.944580078,493,-488,304
1234,-2.956787109,-2.843994141,-5.950927734,496,-481,330
1239,-2.958007813,-2.841796875,-5.941894531,487,-477,328
1244,-2.958984375,-2.847167969,-5.942871094,499,-475,328
1249,-2.954345703,-2.844970703,-5.9453125,495,-468,328
1254,-2.958496094,-2.84765625,-5.946044922,498,-486,338
1259,-2.959228516,-2.842285156,-5.950195313,495,-485,325
1264,-2.959716797,-2.84765625,-5.940673828,500,-505,299
1269,-2.956298828,-2.844726563,-5.941650391,491,-497,332
1274,-2.960693359,-2.842773438,-5.944580078,496,-481,307
1279,-2.961669922,-2.841552734,-5.948486328,491,-487,314
1284,-2.959716797,-2.845214844,-5.948242188,492,-492,319
1289,-2.958007813,-2.84375,-5.942382813,485,-507,301
1294,-2.958251953,-2.840576172,-5.953369141,483,-487,311
1299,-2.959960938,-2.845214844,-5.950683594,514,-466,315
1304,-2.9609375,-2.841308594,-5.946777344,499,-466,305
1309,-2.959716797,-2.842041016,-5.944091797,495,-509,306
1314,-2.954833984,-2.844970703,-5.945556641,500,-479,333
1319,-2.957519531,-2.84765625,-5.950927734,469,-489,285
1324,-2.961181641,-2.841552734,-5.943115234,502,-499,338
1329,-2.962402344,-2.846191406,-5.942138672,510,-465,311
1334,-2.958740234,-2.84765625,-5.945068359,474,-475,324
1339,-2.958007813,-2.847412109,-5.944580078,512,-474,319
1344,-2.957275391,-2.845458984,-5.951904297,481,-482,316
1350,-2.957519531,-2.843017578,-5.946777344,490,-490,328
1355,-2.958496094,-2.844970703,-5.947509766,488,-490,306
1360,-2.958251953,-2.843261719,-5.952392578,489,-476,312
1365,-2.956298828,-2.845458984,-5.944824219,491,-493,313
1370,-2.956054688,-2.84375,-5.946044922,501,-505,306
1375,-2.955810547,-2.842773438,-5.947021484,502,-491,325
1380,-2.956787109,-2.842773438,-5.944091797,502,-471,319
1385,-2.956054688,-2.849365234,-5.942138672,506,-465,320
1390,-2.957519531,-2.846923828,-5.948974609,501,-453,321
1395,-2.954833984,-2.843505859,-5.955078125,500,-488,322
1400,-2.957275391,-2.846923828,-5.948974609,511,-490,344
1405,-2.95703125,-2.844726563,-5.94140625,499,-482,321
1410,-2.957763672,-2.849121094,-5.947509766,482,-491,286
1415,-2.958984375,-2.845458984,-5.944091797,464,-490,335
1420,-2.95703125,-2.846923828,-5.94921875,495,-509,292
1425,-2.957275391,-2.841308594,-5.947998047,497,-456,311
1430,-2.957519531,-2.842285156,-5.944824219,487,-472,302
1435,-2.957519531,-2.842773438,-5.944091797,504,-475,316
1440,-2.956787109,-2.841796875,-5.947265625,517,-480,326
1445,-2.958007813,-2.843017578,-5.953613281,514,-481,340
1450,-2.958984375,-2.846191406,-5.94921875,499,-487,348
1455,-2.959960938,-2.844238281,-5.946289063,503,-482,328
1460,-2.951171875,-2.844726563,-5.952148438,500,-480,322
1465,-2.955322266,-2.851806641,-5.9453125,493,-504,326
1470,-2.958007813,-2.845947266,-5.948730469,476,-494,336
1475,-2.960449219,-2.845214844,-5.946044922,482,-485,300
1480,-2.960205078,-2.843017578,-5.948974609,481,-490,307
1486,-2.956542969,-2.843994141,-5.948974609,504,-482,323
1491,-2.955566406,-2.842529297,-5.952392578,506,-475,305
1496,-2.956787109,-2.847412109,-5.942382813,498,-465,310
1501,-2.958007813,-2.849121094,-5.948242188,491,-492,303
1506,-2.956054688,-2.845458984,-5.942138672,513,-490,316
1511,-2.958496094,-2.846923828,-5.947509766,494,-478,328
1516,-2.957519531,-2.842285156,-5.949707031,480,-467,324
1521,-2.961914063,-2.848632813,-5.947509766,502,-498,316
1526,-2.960449219,-2.844970703,-5.943359375,471,-478,328
1531,-2.958496094,-2.843505859,-5.94140625,485,-510,321
1536,-2.95703125,-2.843261719,-5.944335938,492,-474,296
1541,-2.958496094,-2.843261719,-5.943847656,477,-467,325
1546,-2.955810547,-2.847167969,-5.942138672,497,-511,317
1551,-2.956054688,-2.845458984,-5.948486328,506,-466,290
1556,-2.954345703,-2.844482422,-5.946533203,495,-481,327
1561,-2.958251953,-2.844726563,-5.94921875,486,-496,326
1566,-2.957275391,-2.847167969,-5.942871094,509,-464,314
1571,-2.955322266,-2.840820313,-5.951660156,488,-515,311
1576,-2.956054688,-2.841796875,-5.947753906,487,-494,315
1581,-2.962890625,-2.847900391,-5.942871094,495,-494,343
