Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
852,-1.934082031,-2.844238281,-4.936279297,489,-500,337
857,-1.936035156,-2.843017578,-4.943603516,487,-472,305
862,-1.9296875,-2.840820313,-4.937255859,461,-486,321
867,-1.928710938,-2.841552734,-4.9375,481,-492,346
872,-1.931152344,-2.837890625,-4.937744141,489,-493,336
877,-1.926757813,-2.842041016,-4.937255859,474,-493,333
882,-1.930908203,-2.840087891,-4.942138672,484,-476,322
887,-1.929931641,-2.843017578,-4.943603516,505,-500,345
892,-1.927734375,-2.843505859,-4.94140625,477,-496,351
897,-1.934570313,-2.839355469,-4.943359375,475,-475,334
902,-1.932128906,-2.84375,-4.941162109,453,-484,323
907,-1.927490234,-2.840332031,-4.948730469,498,-493,342
912,-1.931396484,-2.842041016,-4.946289063,482,-464,330
917,-1.931152344,-2.841064453,-4.941162109,488,-488,318
922,-1.932373047,-2.841552734,-4.946533203,478,-505,342
927,-1.934570313,-2.844482422,-4.94140625,471,-495,339
932,-1.929199219,-2.841552734,-4.940917969,496,-510,323
937,-1.929931641,-2.840820313,-4.944824219,494,-508,346
942,-1.9375,-2.841552734,-4.942138672,470,-492,317
947,-1.931396484,-2.841552734,-4.943603516,469,-480,351
952,-1.928466797,-2.840820313,-4.935791016,460,-455,369
957,-1.932128906,-2.840576172,-4.939941406,476,-480,330
962,-1.929931641,-2.842285156,-4.941162109,485,-480,337
967,-1.927001953,-2.844238281,-4.939208984,481,-474,331
973,-1.935546875,-2.837890625,-4.931396484,461,-502,353
978,-1.931640625,-2.838623047,-4.940673828,471,-483,338
983,-1.928222656,-2.843505859,-4.942626953,484,-497,329
988,-1.932617188,-2.843261719,-4.934082031,477,-509,317
993,-1.931152344,-2.84375,-4.937988281,498,-473,349
998,-1.925537109,-2.840820313,-4.940673828,476,-505,334
1003,-1.931884766,-2.844726563,-4.9453125,487,-532,343
1008,-1.926269531,-2.840820313,-4.939208984,473,-487,323
1013,-1.928466797,-2.841796875,-4.935546875,471,-491,319
1018,-1.933349609,-2.848388672,-4.937011719,468,-482,322
1023,-1.929443359,-2.841308594,-4.941162109,486,-497,318
1028,-1.932128906,-2.840820313,-4.945556641,468,-479,346
1033,-1.933105469,-2.843505859,-4.937744141,492,-476,341
1038,-1.929443359,-2.845458984,-4.950927734,483,-499,331
1043,-1.933837891,-2.838623047,-4.945800781,485,-511,333
1048,-1.936279297,-2.838867188,-4.938964844,463,-478,325
1053,-1.930664063,-2.840576172,-4.943359375,474,-485,331
1058,-1.931152344,-2.847900391,-4.943603516,498,-473,344
1063,-1.927490234,-2.840087891,-4.94140625,475,-480,313
1068,-1.928955078,-2.838867188,-4.930664063,487,-516,338
1073,-1.931396484,-2.839111328,-4.934814453,470,-477,316
1078,-1.932128906,-2.844482422,-4.935791016,483,-485,342
1083,-1.934326172,-2.841064453,-4.942871094,478,-504,340
1088,-1.930419922,-2.844970703,-4.947021484,472,-503,307
1093,-1.931640625,-2.837402344,-4.937744141,468,-492,362
1098,-1.931152344,-2.840576172,-4.935302734,486,-465,329
1103,-1.926025391,-2.841796875,-4.939208984,488,-500,345
1109,-1.930419922,-2.841796875,-4.941650391,491,-484,337
1114,-1.927246094,-2.842773438,-4.947265625,476,-499,343
1119,-1.931396484,-2.843017578,-4.948242188,495,-493,346
1124,-1.9296875,-2.839111328,-4.939208984,497,-518,344
1129,-1.933837891,-2.844726563,-4.940185547,476,-463,346
1134,-1.93359375,-2.845458984,-4.946777344,479,-499,324
1139,-1.931640625,-2.844970703,-4.945068359,490,-473,332
1144,-1.933349609,-2.840820313,-4.933105469,477,-494,347
1149,-1.926269531,-2.844238281,-4.940673828,483,-488,314
1154,-1.933105469,-2.842529297,-4.936523438,475,-520,348
1159,-1.929199219,-2.840087891,-4.947998047,469,-492,355
1164,-1.928955078,-2.840820313,-4.935546875,470,-482,327
1169,-1.929443359,-2.842529297,-4.934326172,502,-499,345
1174,-1.929443359,-2.842529297,-4.942626953,488,-484,338
1179,-1.931884766,-2.84375,-4.947265625,480,-488,315
1184,-1.931884766,-2.840820313,-4.934326172,481,-487,340
1189,-1.931396484,-2.845703125,-4.938964844,496,-499,363
1194,-1.932617188,-2.843261719,-4.938476563,482,-507,358
1199,-1.931640625,-2.842285156,-4.941650391,472,-498,343
1204,-1.931884766,-2.842529297,-4.935791016,485,-495,342
1209,-1.928710938,-2.842773438,-4.942138672,482,-495,326
1214,-1.934814453,-2.840576172,-4.944580078,476,-491,317
1219,-1.931640625,-2.843994141,-4.932373047,473,-489,342
1224,-1.930908203,-2.841064453,-4.939453125,490,-503,341
1229,-1.932128906,-2.839355469,-4.942626953,487,-505,338
1234,-1.930419922,-2.841796875,-4.937744141,466,-487,307
1239,-1.925537109,-2.840087891,-4.938964844,499,-479,320
1245,-1.931152344,-2.843017578,-4.938720703,478,-492,322
1250,-1.929199219,-2.839111328,-4.942138672,504,-502,351
1255,-1.928955078,-2.843994141,-4.943603516,494,-482,353
1260,-1.932861328,-2.842285156,-4.941894531,487,-477,335
1265,-1.927001953,-2.844238281,-4.947021484,481,-489,332
1270,-1.930419922,-2.842529297,-4.943115234,470,-493,340
1275,-1.934082031,-2.840576172,-4.947021484,496,-483,331
1280,-1.927978516,-2.84375,-4.943359375,485,-498,339
1285,-1.929443359,-2.843505859,-4.942382813,465,-481,353
1290,-1.933837891,-2.842773438,-4.94140625,466,-496,344
1295,-1.933349609,-2.838134766,-4.937255859,468,-489,321
1300,-1.931640625,-2.84375,-4.934814453,499,-493,350
1305,-1.93359375,-2.840332031,-4.937744141,488,-485,320
1310,-1.931396484,-2.841064453,-4.939697266,491,-502,350
1315,-1.929931641,-2.843994141,-4.940185547,466,-484,359
1320,-1.930664063,-2.843994141,-4.940429688,498,-505,324
1325,-1.931152344,-2.843017578,-4.935058594,479,-476,325
1330,-1.931884766,-2.841552734,-4.935058594,456,-507,323
1335,-1.931396484,-2.843261719,-4.940673828,496,-498,340
1340,-1.927246094,-2.844482422,-4.938964844,468,-489,359
1345,-1.930175781,-2.840087891,-4.936279297,455,-492,350
1350,-1.929931641,-2.84375,-4.944335938,467,-510,326
1355,-1.929931641,-2.844970703,-4.947753906,480,-490,332
1360,-1.930664063,-2.839599609,-4.941894531,471,-515,339
1365,-1.932617188,-2.842773438,-4.946044922,477,-477,353
1370,-1.926269531,-2.843261719,-4.942626953,490,-481,344
1375,-1.929199219,-2.840087891,-4.938232422,445,-489,328
1381,-1.929443359,-2.84375,-4.945800781,479,-467,316
1386,-1.933105469,-2.843994141,-4.944824219,480,-509,336
1391,-1.93359375,-2.842529297,-4.938476563,486,-499,328
1396,-1.935791016,-2.837890625,-4.949462891,474,-488,337
1401,-1.932128906,-2.840332031,-4.94140625,488,-506,316
1406,-1.9296875,-2.842285156,-4.944091797,454,-500,321
1411,-1.928955078,-2.841308594,-4.939697266,472,-498,346
1416,-1.930175781,-2.840087891,-4.942138672,491,-471,327
1421,-1.931884766,-2.841308594,-4.937011719,480,-493,357
1426,-1.933105469,-2.838623047,-4.941650391,480,-492,351
1431,-1.932373047,-2.841796875,-4.944335938,456,-486,380
1436,-1.934570313,-2.842041016,-4.940673828,467,-492,327
1441,-1.932861328,-2.840087891,-4.946777344,487,-486,334
1446,-1.927490234,-2.840820313,-4.944824219,465,-482,329
1451,-1.930908203,-2.845947266,-4.938964844,490,-497,345
1456,-1.930175781,-2.841064453,-4.948242188,473,-501,320
1461,-1.930908203,-2.84375,-4.946777344,485,-498,347
1466,-1.932617188,-2.845947266,-4.938232422,487,-483,335
1471,-1.929931641,-2.841064453,-4.942138672,500,-505,320
1476,-1.931396484,-2.837646484,-4.939453125,486,-476,343
1481,-1.931396484,-2.839111328,-4.936279297,493,-497,329
1486,-1.9296875,-2.843017578,-4.939208984,484,-514,360
1491,-1.933105469,-2.84375,-4.940185547,467,-505,319
1496,-1.934082031,-2.838623047,-4.941894531,481,-504,311
1501,-1.933349609,-2.842041016,-4.936767578,489,-483,337
1506,-1.931152344,-2.841552734,-4.939697266,480,-472,340
1511,-1.928710938,-2.842773438,-4.942871094,479,-495,333
1517,-1.930908203,-2.843994141,-4.938964844,500,-508,338
