Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
710,-2.947753906,-3.823486328,-4.926025391,434,-499,370
715,-2.945800781,-3.826171875,-4.936279297,454,-487,399
720,-2.945556641,-3.822265625,-4.927978516,474,-477,377
725,-2.949951172,-3.825195313,-4.931396484,462,-477,382
730,-2.950927734,-3.826416016,-4.930175781,459,-493,357
735,-2.944824219,-3.824707031,-4.933349609,452,-472,378
740,-2.947265625,-3.825927734,-4.934326172,452,-473,391
745,-2.948242188,-3.827880859,-4.937744141,465,-498,380
750,-2.947998047,-3.826416016,-4.931884766,441,-486,370
755,-2.946533203,-3.824707031,-4.937255859,471,-496,365
760,-2.948730469,-3.821533203,-4.931152344,472,-465,392
765,-2.9453125,-3.825683594,-4.935791016,449,-480,406
770,-2.947265625,-3.8203125,-4.933349609,456,-472,373
775,-2.946777344,-3.825439453,-4.934326172,459,-490,389
780,-2.948730469,-3.826171875,-4.937011719,453,-493,363
786,-2.946777344,-3.825927734,-4.936523438,450,-488,387
791,-2.951904297,-3.825927734,-4.938232422,450,-467,370
796,-2.948486328,-3.826416016,-4.934570313,464,-489,397
801,-2.947998047,-3.827392578,-4.932861328,438,-443,375
806,-2.947998047,-3.820556641,-4.933105469,449,-469,374
811,-2.943847656,-3.826660156,-4.932861328,453,-498,382
816,-2.949462891,-3.824707031,-4.925048828,476,-479,371
821,-2.945556641,-3.819580078,-4.931640625,469,-499,376
826,-2.948974609,-3.822265625,-4.931884766,469,-484,379
831,-2.94921875,-3.82421875,-4.926757813,465,-485,394
836,-2.9453125,-3.825439453,-4.936035156,446,-460,387
841,-2.949462891,-3.829101563,-4.93359375,447,-478,367
846,-2.947265625,-3.823974609,-4.933837891,468,-502,375
851,-2.946044922,-3.825195313,-4.930419922,465,-482,389
856,-2.946044922,-3.825439453,-4.932861328,451,-483,405
861,-2.947509766,-3.821289063,-4.936523438,460,-481,401
866,-2.950927734,-3.828125,-4.934082031,459,-483,398
